Registration_number,Flag,Latitude,Longitude,Altitude,Direction,Speed,Flight_number,Flight_icao,Flight_iata,Departure_icao,Departure_iata,Arrival_icao,Arrival_iata,Airline_icao,Airline_iata,Aircraft_icao,Updated,Status
9H-LOO,MT,48.498596,8.122911,10980,318,790,171P,RYR171P,FR3003,LIRA,CIA,EGSS,STN,LDA,FR,A320,1688586761,en-route
9H-LOY,MT,44.461994,8.746591,10965,48,918,8DV,RYR8DV,FR581,LEIB,IBZ,LOWW,VIE,LDA,FR,A320,1688586760,en-route
9H-LOA,MT,50.512066,4.66622,929,271,318,6PZ,RYR6PZ,FR2123,LDZA,ZAG,EBCI,CRL,LDA,FR,A320,1688586757,en-route
9H-LOP,MT,36.598984,-4.223957,2910,42,581,55GH,RYR55GH,FR5871,LEMG,AGP,LDZA,ZAG,LDA,FR,A320,1688586759,en-route
9H-LMT,MT,39.397888,22.154169,10058,138,801,9BK,RYR9BK,FR699,LOWW,VIE,LGAV,ATH,LDA,FR,A320,1688586761,en-route
9H-SLC,TR,40.589966,30.796427,6903,123,807,6NJ,THY6NJ,TK7678,LTFJ,SAW,OKBK,KWI,THY,TK,A321,1688586757,en-route
9H-VMF,MT,51.622849,17.493515,13716,179,905,23F,EAU23F,,ESSB,BMA,LOWW,VIE,EAU,,GA5C,1688586760,en-route
9H-SLD,LV,44.765945,3.812321,10972,57,976,531,WMT531,W43692,LEMD,MAD,LRIA,IAS,ART,W4,A320,1688586759,en-route
9H-VUA,MT,39.187069,3.065491,8869,62,857,1NE,RYR1NE,FR8875,LEIB,IBZ,LIRP,PSA,MAY,FR,B38M,1688586759,en-route
9H-VUB,MT,39.750595,-5.49394,11277,254,675,77MQ,RYR77MQ,FR789,LIPE,BLQ,LPPT,LIS,MAY,FR,B38M,1688586760,en-route
9H-VUD,MT,39.252571,9.058765,0,50,0,9YV,RYR9YV,FR9931,LIRP,PSA,LIEE,CAG,MAY,FR,B38M,1688586720,landed
9H-VUE,MT,41.300552,2.07729,0,247,1,3076,RYR3076,FR3076,LEBL,BCN,ESSA,ARN,MAY,FR,B38M,1688586762,landed
9H-VUF,MT,42.216969,15.51359,8107,127,798,2HF,RYR2HF,FR4658,LIME,BGY,LIBD,BRI,MAY,FR,B38M,1688586761,en-route
9H-SLK,TR,46.948071,20.299143,10668,135,848,9TF,THY9TF,TK7823,EHAM,AMS,LTFJ,SAW,THY,TK,A320,1688586761,en-route
9H-SLH,LV,52.303825,4.770028,0,59,25,87H,TFL87H,OR1232,LGZA,ZTH,EHAM,AMS,ART,OR,A320,1688586748,en-route
9H-AMH,DE,51.734528,7.313919,2910,248,433,9213,EWG9213,EW9213,ESSA,ARN,EDDL,DUS,EWG,EW,A320,1688586761,en-route
9H-EVA,ZA,43.245258,10.117427,7315,327,585,1302,AEZ1302,XZ1302,LIRF,FCO,LIME,BGY,SWU,XZ,DH8D,1688586760,en-route
9H-TJE,TR,44.501129,17.955519,11887,145,866,3204,CXI3204,XR3204,LOWL,LNZ,LGIR,HER,CAI,XR,B738,1688586761,en-route
9H-AMP,LT,44.477325,-3.844822,10980,35,944,77Y,TRA77Y,HV6206,LPPT,LIS,EHEH,EIN,NVD,HV,A320,1688586760,en-route
